n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,2.608909845352173,0.28873204075374553,-0.23063955307006836,0.27640396964751995
5,2.310272789001465,0.49093720864758067,0.013717234134674072,0.3943425030273506
10,1.696388030052185,0.28537607042832885,0.4739194631576538,0.17046862522343637
20,1.459714150428772,0.1326272831748251,0.6167455911636353,0.072460605918844
50,0.9587649345397949,0.09815622927137393,0.8348397612571716,0.03261761745148679
100,0.776430356502533,0.03925970144780761,0.8920987963676452,0.013914354344572902
200,0.6878581047058105,0.020425982622804394,0.9158278942108155,0.004917628403763163
500,0.6347471356391907,0.0035719537667383457,0.9284432172775269,0.003081645096183166
1000,0.6110406398773194,0.008496621634165298,0.9331660151481629,0.004312594756410347
2000,0.5948425769805908,0.004710447401549943,0.937170946598053,0.0026957611502810464
