n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,19.358996200561524,1.5976743625263625,-0.43029487133026123,0.22999581440884662
5,15.757320976257324,0.8253474093911514,0.056479597091674806,0.10063745342201659
10,15.05996494293213,1.7099546551976637,0.12792936563491822,0.20724404895802312
20,14.284193229675292,1.3463366927102398,0.21960412263870238,0.14475035882275933
50,8.00827236175537,4.180985635274679,0.6897241115570069,0.22577231576237106
100,1.9192574977874757,0.3451931843371439,0.9856091737747192,0.005131516682112634
200,1.435330367088318,0.20479122429804766,0.9920343399047852,0.0023725523677404015
500,1.2638241529464722,0.08125641989165366,0.9939268112182618,0.0007429123263380487
1000,1.1341000080108643,0.09593523236604877,0.9951195836067199,0.0008936819121005919
2000,1.059411311149597,0.01698199493071018,0.9957770586013794,0.00018136207400287722
