n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,29.9474308013916,2.606582205545452,-0.3128789186477661,0.21496471082857857
5,26.25398063659668,1.5676896381225613,-0.004691886901855469,0.10690485424420522
10,23.294916915893555,1.2590564809014266,0.20893510580062866,0.08006144125037044
20,19.376111221313476,3.9435315976379663,0.429726779460907,0.20722617898548074
50,5.020942878723145,0.40786142231244077,0.9630039453506469,0.006320183547497733
100,1.6704861879348756,0.6284597322524976,0.9953861832618713,0.003639417756272918
200,1.3954188346862793,0.5479659233440899,0.9967154383659362,0.0021063861006845757
500,0.46563571095466616,0.08861766475152834,0.999673318862915,0.0001249996994243726
1000,0.18716386556625367,0.017916495913788712,0.9999489665031434,9.569647767284508e-06
2000,0.10725805908441544,0.01330368966032463,0.999983286857605,3.7224234039943477e-06
