n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,83.96623077392579,23.289310461702442,-1.8912657499313354,1.5968155954896328
5,39.76701965332031,5.240591720446179,0.3889482855796814,0.1593778001035259
10,27.31834259033203,6.377567186642171,0.7008263468742371,0.13540459915320602
20,11.895596885681153,4.418556827469473,0.9385748028755188,0.03584007445178861
50,1.8102398633956909,0.9955959573077118,0.9983604788780213,0.0018749656746372594
100,1.0367733061313629,0.3535880673844905,0.99954594373703,0.00022611123740373445
200,0.4842393696308136,0.18846356899717862,0.9998977899551391,7.52112314931612e-05
500,0.14890641421079637,0.03910883400753502,0.9999910116195678,4.423355423892447e-06
1000,0.08118909820914269,0.02028138071536648,0.999997353553772,1.2903269889578636e-06
2000,0.046445079147815704,0.011864483810101682,0.9999991297721863,4.4699509761935893e-07
