n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,21335.42109375,587.77461217832,-0.12792637348175048,0.060111596318467075
5,20388.83515625,1247.9433454379457,-0.03261623382568359,0.1213446753367131
10,19286.902734375,1452.8902371687875,0.0753968596458435,0.13685722935914763
20,17451.3138671875,2008.669924932349,0.2377045273780823,0.16879440937171059
50,6847.70537109375,1788.4627347877397,0.876243793964386,0.07001034461539128
100,2601.3957275390626,724.5240615541204,0.9819819092750549,0.008876237601208582
200,1804.498291015625,453.3053799073263,0.9913973212242126,0.00423120366418628
500,580.0144592285156,117.90370244264668,0.9991336584091186,0.0003344975181207795
1000,248.5287292480469,48.08083178420148,0.9998434901237487,6.43945190050024e-05
2000,108.0035385131836,44.519610156243466,0.999967074394226,2.5385914202064184e-05
