n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,434.8169738769531,75.84191590433775,-1.1844271659851073,0.6747892683634384
5,374.2928466796875,51.7392575377001,-0.6013070106506347,0.45395793369287835
10,372.27715454101565,36.84739370475663,-0.5711697101593017,0.31822216367095785
20,329.12183837890626,18.91227536324727,-0.21925711631774902,0.13579591185407774
50,313.4314025878906,6.316356480755653,-0.10225393772125244,0.0401320340007237
100,300.33970947265624,2.8777299134396053,-0.011761081218719483,0.014354800568452593
200,299.0466064453125,0.9782363048270418,-0.003229677677154541,0.004297507219918556
500,234.77212829589843,76.72621324306,0.3131434440612793,0.37986721352278824
1000,101.43592834472656,4.517913741930407,0.8846576809883118,0.009780531093968245
2000,72.99674072265626,0.3286257580419178,0.9404464483261108,0.00026692203479555565
