n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,5.164528179168701,0.6820659795581668,-0.9183491230010986,0.49922693894267417
5,3.9727609634399412,0.6308066348221341,-0.14381372928619385,0.36785612047208965
10,2.5230931282043456,0.23533029145184906,0.5460739731788635,0.08447141102397292
20,1.7813904285430908,0.37037974166695203,0.7659790873527527,0.10012592625148015
50,0.3228799730539322,0.08690926086552872,0.9920965552330017,0.004338755990958712
100,0.060956047475337984,0.014068200405941339,0.9997233510017395,0.0001313727833825661
200,0.023135610297322272,0.0050890191501229975,0.9999603271484375,1.5434017096316338e-05
500,0.006046684086322784,0.0008788864684509744,0.999997353553772,7.731161292596322e-07
1000,0.0035453832242637873,0.0008691947362339938,0.9999990463256836,4.5079399111721607e-07
2000,0.0013114195549860596,8.826117164437924e-05,0.9999998807907104,0.0
