n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,5.956242084503174,2.717008079613091,-2.2994453430175783,3.1393949711733926
5,4.060529994964599,0.3556163398814703,-0.2849407196044922,0.22825555562175165
10,3.079079103469849,0.2577650435287515,0.26254457235336304,0.11796312805180215
20,2.868621349334717,0.3367521939822301,0.3559605717658997,0.1528752322059004
50,2.17025146484375,0.03365023298622976,0.6355445981025696,0.010643375501890994
100,1.2847444772720338,0.40449809904614636,0.8595628142356873,0.09589693071153306
200,0.7815333843231201,0.05217409583757664,0.9524790525436402,0.006645091307602743
500,0.3437817394733429,0.0301523668485324,0.9907987833023071,0.0015807957908269784
1000,0.1759882390499115,0.007001218218786277,0.9976073384284974,0.00019180779652686747
2000,0.09780848920345306,0.004146274599713509,0.9992609977722168,6.051269026875191e-05
