n_points,rmse_mean,rmse_std,rsquare_mean,rsquare_std
1,60.00959014892578,7.5998483840771325,-0.8047931432723999,0.48666324606525496
5,48.70357131958008,3.387305099274486,-0.1742492437362671,0.16393735490033362
10,43.095438385009764,3.435989388697506,0.07879552841186524,0.15849326180041218
20,39.94281768798828,4.987943008962157,0.20294764041900634,0.20407816586426633
50,9.986723232269288,1.4734205512447938,0.94977867603302,0.015276738452843771
100,2.6337011814117433,0.7333561989451678,0.9963300108909607,0.0019317110132068586
200,2.16611305475235,0.9492704852883819,0.9972485303878784,0.002115699691339146
500,0.803998464345932,0.18246436281801356,0.9996643900871277,0.00012464841970465413
1000,0.3164024084806442,0.03916924571329331,0.9999501824378967,1.1809146836705877e-05
2000,0.13857050985097885,0.020903641931088818,0.9999904274940491,2.86315798568843e-06
